# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-05-11	3009	128	32	6	
2020-05-12	3012	128	24	6	
2020-05-13	3017	128	21	5	
2020-05-14	3022	128	24	5	
2020-05-15	3027	129	24		2230
2020-05-16	3032	130			2242
2020-05-17	3035	131			2251
2020-05-18	3037	131	22		2256
2020-05-19	3045	131	20		2275
2020-05-20	3047	131	21		2276
2020-05-21	3047	131			2281
2020-05-22	3049	131	17		2287
2020-05-23	3050	131			2293
2020-05-24	3050	131			2299
2020-05-25	3050	131	12		2308
2020-05-26	3052	132			2316
2020-05-27	3053	132			2322
2020-05-28	3056	132			2327
2020-05-29	3065	132			2332
2020-05-30	3066	132			2332
2020-05-31	3070	132			2337
2020-06-01	3071	132			2337
2020-06-02	3071	132			2347
2020-06-03	3074	132			2347
2020-06-04	3076	132			2348
2020-06-05	3080	132			2353
2020-06-06	3082	132			2356
2020-06-07	3082	132			2357
2020-06-08	3082	132			2359
2020-06-09	3085	132			2360
2020-06-10	3086	132			2361
2020-06-11	3089	132			2368
2020-06-12	3092	132			2374
2020-06-13	3093	132			2376
2020-06-14	3095	132			2382
2020-06-15	3096	132			2383
2020-06-16	3098	132			2383
2020-06-17	3099	132			2383
2020-06-18	3102	132			2384
2020-06-19	3105	132			2385
2020-06-20	3109	132			2390
2020-06-21	3110	133			2391
2020-06-22	3112	133			2392
2020-06-23	3112	133			2392
2020-06-24	3121	133			2392
2020-06-25	3127	133			2397
2020-06-26	3139	133			2397
2020-06-27	3146	133			2403
2020-06-28	3152	133			2403
2020-06-29	3159	133			2403
2020-06-30	3182	133			2404
2020-07-01	3198	133			2405
2020-07-02	3213	133			2410
2020-07-03	3223	133			2410
2020-07-04	3231	133			2417
2020-07-05	3234	133			2418
2020-07-06	3243	133	9		2420
2020-07-07	3257	133	11		2422
2020-07-08	3270	133	11		2428
2020-07-09	3282	133	9		2434
2020-07-10	3303	133	7	3	2449
2020-07-11	3320	133			2457
2020-07-12	3330	133			2463
2020-07-13	3340	133	11		2470
2020-07-14	3363	133	12		2499
2020-07-15	3382	133	14		2512
2020-07-16	3393	133	14		2529
2020-07-17	3414	133	13		2542
2020-07-18	3423	133			2557
2020-07-19	3426	133			2562
2020-07-20	3434	133			2575
2020-07-21	3458	133			2586
2020-07-22	3471	133			2596
2020-07-23	3489	134			2604
2020-07-24	3507	134			2626
2020-07-25	3518	134			2645
2020-07-26	3521	135			2645
2020-07-27	3527	136	17		2648
2020-07-28	3547	136	16		2670
2020-07-29	3563	136	18		2686
2020-07-30	3596	136	20		2692
2020-07-31	3613	136	21	5	2709
2020-08-01	3641	137			2718
2020-08-02	3648	137			2721
2020-08-03	3656	137	21	7	2734
2020-08-04	3682	137	23	7	2752
2020-08-05	3709	137			2773
2020-08-06	3731	137	20		2791
2020-08-07	3744	137	17		2813
2020-08-08	3753	137			2822
2020-08-09	3758	137			2832
2020-08-10	3769	137	17		2843
2020-08-11	3811	138	16		2865
2020-08-12	3845	138	18		2883
2020-08-13	3879	138	15		2912
2020-08-14	3901	138	20		2935
2020-08-15	3952	138			2955
2020-08-16	3968	138			2968
2020-08-17	3984	139	22		2970
2020-08-18	4017	139	24		2988
2020-08-19	4062	139	20		3013
2020-08-20	4091	139	17		3034
2020-08-21	4121	139	16	4	3055
2020-08-22	4155	139			3074
2020-08-23	4176	140			3091
2020-08-24	4188	140	17		3112
2020-08-25	4222	140	17		3158
2020-08-26	4267	140	17		3188
2020-08-27	4304	140	15	5	3221
2020-08-28	4341	140	14	5	3240
2020-08-29	4378	141			3275
2020-08-30	4391	141			3300
2020-08-31	4401	141	12	7	3320
2020-09-01	4429	141	11		3367
2020-09-02	4461	141	13		3394
2020-09-03	4498	141			3411
2020-09-04	4530	141			3438
2020-09-05	4558	141			3471
2020-09-06	4571	141			3501
2020-09-07	4592	141			3515
2020-09-08	4627	141			3556
2020-09-09	4654	141			3596
2020-09-10	4696	142			3627
2020-09-11	4725	143			3660
2020-09-12	4754	143			3685
2020-09-13	4774	143			3708
2020-09-14	4783	143	18		3717
2020-09-15	4823	143	20		3741
2020-09-16	4863	143	12		3777
2020-09-17	4893	144	14		3805
2020-09-18	4929	144	13		3842
2020-09-19	4946	145			3870
2020-09-20	4962	145			3886
2020-09-21	4974	145	13		3912
2020-09-22	5000	145	15		3939
2020-09-23	5017	145	14		3962
2020-09-24	5033	145			3998
2020-09-25	5059	145	18		4020
2020-09-26	5072	145			4055
2020-09-27	5082	145			4079
2020-09-28	5092	146			4087
2020-09-29	5104	146			4121
2020-09-30	5129	146			4164
2020-10-01	5154	146			4188
2020-10-02	5181	146			4217
2020-10-03	5228	146			4239
2020-10-04	5251	146			4261
2020-10-05	5274	146			4279
2020-10-06	5334	146			4309
2020-10-07	5417	147			4325
2020-10-08	5503	147			4344
2020-10-09	5602	147	17	4	4358
2020-10-10	5695	147			4376
2020-10-11	5747	147			4397
2020-10-12	5845	147	26		4407
2020-10-13	6047	148	35		4430
2020-10-14	6246	149	37		4459
2020-10-15	6461	149	39		4486
2020-10-16	6696	149	42		4513
2020-10-17	6914	149			4569
2020-10-18	7075	149			4605
2020-10-19	7235	149	64	9	4649
2020-10-20	7591	149	75	11	4708
2020-10-21	7979	150	73	11	4786
2020-10-22	8389	151	77	14	4869
2020-10-23	8825	152	92	16	5005
2020-10-24	9371	152			5124
2020-10-25	9692	152			5227
2020-10-26	10084	153	136	19	5338
2020-10-27	10702	153	156	23	5537
2020-10-28	11352	159	151	24	5741
2020-10-29	11984	165	154	27	5951
2020-10-30	12578	166	160	30	6228
2020-10-31	13176	172			6478
2020-11-01	13685	175			6701
2020-11-02	14162	181	216	31	6880
2020-11-03	14863	185	247	32	7298
2020-11-04	15555	188	254	35	7779
2020-11-05	16299	190	261	36	8178
2020-11-06	16862	198	257	41	8640
2020-11-07	17417	200			9175
2020-11-08	17663	202			9531
2020-11-09	17954	203	308	49	9968
2020-11-10	18652	209	336	53	10603
2020-11-11	19213	214	331	50	11266
2020-11-12	19824	220	321	53	11887
2020-11-13	20433	226	331	54	12496
2020-11-14	20964	231			13020
2020-11-15	21249	233			13570
2020-11-16	21626	239	372	56	13954
2020-11-17	22328	246	397	58	14581
2020-11-18	22950	255	401	62	15290
2020-11-19	23576	267	391	60	15881
2020-11-20	24276	275	372	61	16581
2020-11-21	24807	286			17170
2020-11-22	25103	292			17575
2020-11-23	25509	300	383	62	17975
2020-11-24	26179	309	398	60	18668
2020-11-25	26919	317	385	58	19170
2020-11-26	27521	325	382	56	19631
2020-11-27	28108	330	378	57	20277
2020-11-28	28566	339			20756
2020-11-29	28896	347			21123
2020-11-30	29356	353	398	59	21544
2020-12-01	30002	361	396	64	22231
2020-12-02	30639	372	385	59	22745
2020-12-03	31271	380	366	55	23303
2020-12-04	31891	386	364	53	23989
2020-12-05	32509	401			24587
2020-12-06	32792	412			24897
2020-12-07	33290	421	391	51	25418
2020-12-08	34061	431	408	48	26055
2020-12-09	34877	445	384	49	26719
2020-12-10	35638	461	398	51	27144
2020-12-11	36369	472	388	54	27756
2020-12-12	37032	486			28286
2020-12-13	37367	494			28624
2020-12-14	37831	508	408	53	29167
2020-12-15	38713	524	409	49	29840
2020-12-16	39517	553	408	52	30371
2020-12-17	40282	567	410	55	31020
2020-12-18	40970	581	416	51	31635
2020-12-19	41512	600			32256
2020-12-20	41866	616			32666
2020-12-21	42308	631	430	58	33267
2020-12-22	43160	650	444	60	34012
2020-12-23	43881	673	402	59	34695
2020-12-24	44576	689	363	64	35423
2020-12-25	44900	697	369	65	36095
2020-12-26	45209	712			36701
2020-12-27	45504	725			37167
2020-12-28	45986	736	395	69	37685
2020-12-29	46682	752	415	68	38488
2020-12-30	47252	768	401	68	39171
2020-12-31	47807	777	394	59	39841
2021-01-01	48071	794	356	53	40564
2021-01-02	48414	806			41111
2021-01-03	48658	815			41483
2021-01-04	49091	828	362	50	41924
2021-01-05	49696	842	353	58	42661
2021-01-06	50221	849	337	57	43294
2021-01-07	50613	857	330	60	43881
2021-01-08	51001	863	320	57	44284
2021-01-09	51309	870			44639
2021-01-10	51518	879			44992
2021-01-11	51792	882	289	46	45485
2021-01-12	52212	892	268	45	46096
2021-01-13	52504	895	245	45	46617
2021-01-14	52865	899	224	45	47127
2021-01-15	53101	906	211	36	47461
2021-01-16	53336	915			47880
2021-01-17	53466	917			48138
2021-01-18	53677	921	211	39	48558
2021-01-19	53985	929	226	37	49035
2021-01-20	54293	936	203	34	49489
2021-01-21	54610	941	195	34	49826
2021-01-22	54867	944	192	33	50175
2021-01-23	55098	951			50484
2021-01-24	55198	953			50696
2021-01-25	55373	957	189	32	50894
2021-01-26	55623	965	185	28	51086
2021-01-27	55857	971	160	30	51243
2021-01-28	56079	974	154	29	51417
2021-01-29	56295	980	137	27	51574
2021-01-30	56468	984			51770
2021-01-31	56562	987			51916
2021-02-01	56696	990	132	32	52062
2021-02-02	56916	992	145	38	52210
2021-02-03	22221	384	70	19	21069
